Agent ID,Agent Class,Trade Behavior,Total Wealth,EMPottery,IberianPottery,NAPottery,TarrPottery,WMPottery,ItalianPottery,AegeanPottery,EgyptianPottery,AdriaticPottery,GallicPottery,BaeticanPottery,total_pottery
74,Iberian Peninsula,random_trade,0,"3,8","2,4","1,6",3,"2,9","3,1","2,4","2,5","2,3","2,6","2,8","29,4"
75,Iberian Peninsula,conservative_trade,0,"1,5","1,9","1,2","2,5","1,3","1,3","1,9","1,3","1,2","1,8","1,4","17,3"
76,Iberian Peninsula,conservative_trade,0,"1,5","1,7","1,9","1,5","0,9","1,6","1,6",2,"1,9","1,4","1,5","17,5"
77,Iberian Peninsula,conservative_trade,0,"1,2","1,5","1,7","1,9","1,4","1,4","1,9","1,5","1,2","1,4","1,7","16,8"
78,Iberian Peninsula,aggressive_trade,0,"7,3",6,8,"6,1","8,4","7,4","7,6","6,9","7,9","7,2","7,4","80,2"
79,Iberian Peninsula,aggressive_trade,0,"7,3","9,4","7,6","8,2","8,6","8,6","8,1","7,6","8,4","7,6","7,4","88,8"
80,Iberian Peninsula,random_trade,0,"3,5","3,4","2,9","3,1","3,4","3,1","2,7","1,4","2,5",4,"2,3","32,3"
81,North Africa,random_trade,0,"3,1","2,6",4,3,"3,1","2,2","1,9","2,5","2,8","2,5","1,9","29,6"
82,North Africa,conservative_trade,0,"1,1","1,8","1,4","1,2","2,3","1,5","1,5","1,8","1,7","1,7","1,4","17,4"
83,North Africa,random_trade,0,5,3,"2,9","3,4","3,3","2,4","2,8","3,7","2,5",3,3,35
84,North Africa,aggressive_trade,0,"7,9","8,8","7,4","8,2","6,2","7,2","7,4","7,3","7,8","6,4","6,8","81,4"
85,North Africa,aggressive_trade,0,10,"8,4",8,"5,9","8,8","6,7","9,1","7,4","8,1","7,8","7,8",88
86,North Africa,conservative_trade,0,"1,7","1,7","1,4","1,9","1,6","2,1","2,1","1,7","1,5","1,3","0,9","17,9"
87,North Africa,random_trade,0,"1,8","2,3","3,3","3,1","2,7","3,9","4,5","3,5","2,8","3,3","2,9","34,1"
88,North Africa,conservative_trade,0,"1,8","1,1","1,6","2,2","1,4","2,2","1,7","1,4","1,9","1,8","1,5","18,6"
89,North Africa,aggressive_trade,0,"8,7","9,3","9,8","8,2","6,3","6,7","8,1","9,4","9,1",9,"7,9","92,5"
90,North Africa,aggressive_trade,0,"8,8","8,4","9,6","9,1","8,3","8,7","8,5","9,6","8,5","9,6","10,9",100
91,Tarraconensis,aggressive_trade,0,8,"9,3","8,8","6,9","9,2","8,2","6,9","6,3","9,6","7,9","7,8","88,9"
92,Tarraconensis,random_trade,0,3,"3,2","2,8","2,3",2,"2,1","3,3","3,5","3,6","2,7","3,9","32,4"
93,Tarraconensis,random_trade,0,3,"2,2","2,9","3,2","1,8",3,3,"2,3","2,5",3,"2,6","29,5"
94,Tarraconensis,conservative_trade,0,"1,8","1,4","2,6","1,4",2,1,"2,1","1,4","1,2","1,7","1,6","18,2"
95,Tarraconensis,conservative_trade,0,"1,2","2,6","1,6","2,1","1,1","1,2","1,2","1,7","1,3","1,5","1,6","17,1"
96,Tarraconensis,conservative_trade,0,"1,4","2,1","1,7","1,2","1,8","1,9","1,7","1,5","2,1","1,9","0,7",18
97,Tarraconensis,aggressive_trade,275,8,"9,2",9,"9,1","9,8","10,2","9,2","10,2","8,5","7,8","9,9","100,9"
98,Tarraconensis,aggressive_trade,"449,8",10,"8,3","9,5","10,1","11,4","8,6","9,6","8,9","9,8","9,7","11,5","107,4"
99,Tarraconensis,aggressive_trade,"8604,2","10,2","10,1","9,5","9,9","10,5","9,4","12,5","8,5","10,6","10,9","10,9",113
100,Tarraconensis,random_trade,0,"3,4","3,1","3,6","3,3",4,"3,6",3,"3,1","2,8","3,1","2,6","35,6"
101,Western Mediterranean,aggressive_trade,"61,8","8,1",8,"9,5","9,6","9,6","10,1","10,2","10,5","8,4","12,1","10,7","106,8"
102,Western Mediterranean,random_trade,0,"3,3","3,1",2,"2,4","3,4","2,8","2,5","3,6",4,"3,3","2,7","33,1"
103,Western Mediterranean,random_trade,0,"4,2","2,5","2,7","3,1","2,9","3,9","2,4","3,3","3,1","3,1","2,7","33,9"
104,Western Mediterranean,random_trade,0,"3,3","2,9","2,4","2,9","2,7","2,9","3,5","4,7","4,2","2,8","3,8","36,1"
105,Western Mediterranean,random_trade,0,"2,6","2,8","3,5","2,9",2,"3,8","3,2","3,2","2,5","3,4",3,"32,9"
106,Western Mediterranean,random_trade,0,"3,4","3,1","2,8","3,3","3,3","3,8","2,8","3,7","2,1","3,3","3,2","34,8"
107,Western Mediterranean,aggressive_trade,"8935,2","12,1","10,2","9,5","11,2","10,8","11,1","9,4","11,9","10,4","11,6",9,"117,2"
108,Western Mediterranean,aggressive_trade,"12981,9","11,1","11,5","10,7","14,4","9,9","11,7",10,"13,2","11,6","8,7","9,1","121,9"
109,Western Mediterranean,aggressive_trade,"22731,9","10,7",13,12,"9,4","12,1","12,3","13,4","10,5","11,1","11,6","11,2","127,3"
110,Western Mediterranean,random_trade,0,3,"4,1","2,4","4,8",3,"3,1","3,5","4,2","3,8","3,5","3,1","38,5"
