Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,WMPottery,IberianPottery,AegeanPottery,BaeticanPottery,EgyptianPottery,NAPottery,EMPottery,AdriaticPottery,GallicPottery,TarrPottery,ItalianPottery,total_pottery
68,Iberian Peninsula,conservative_trade,False,"2,102","1,2","0,6","1,7",1,1,"1,1","0,9","0,7","0,9","1,4","1,6","12,1"
69,Iberian Peninsula,aggressive_trade,False,"3,9555","3,5","1,3","2,6","1,1","4,5",2,"3,9","3,6",3,"5,8",1,"32,3"
70,Iberian Peninsula,aggressive_trade,False,"2,11375","2,5","0,4","2,2","0,8","5,6","3,3","3,5","5,1","5,6","5,3","1,1","35,4"
71,Italy,conservative_trade,False,"2,64775","0,5","1,4","1,2","1,1","0,7","0,7","0,7","1,1","1,4","1,6","1,8","12,2"
72,Italy,conservative_trade,False,"1,43475","0,7","1,5","0,7","1,5","0,9","0,7","1,7","0,7","0,8","1,1","1,1","11,4"
73,Italy,random_trade,False,"3,10625","1,6","0,5",2,"0,7","1,3","1,5","1,7","1,3","3,1","2,5","0,4","16,6"
74,Italy,aggressive_trade,False,"7,5205","2,6","0,3","4,2","0,7","6,5","3,1","2,8","5,4","4,7","4,9","0,5","35,7"
75,Italy,conservative_trade,False,"2,39575","1,1","1,1","0,9","1,2","0,8","0,6","1,3",1,"1,2","1,7","1,5","12,4"
76,Italy,random_trade,False,"2,694","1,9","0,6","1,9",1,"1,6","1,6","2,3","1,2","1,5","2,2","0,4","16,2"
77,Italy,aggressive_trade,False,"4,75775","3,5","1,1",2,"0,5","5,6","2,8","2,9","6,2","6,9","5,5","1,1","38,1"
78,Italy,conservative_trade,False,"2,454","0,8","1,1","1,4","0,8","0,8","1,6","1,4","1,8","0,9","0,3","1,2","12,1"
79,Italy,aggressive_trade,False,"4,076","2,5","0,8",2,"1,1","6,9",2,"1,7","5,1","7,1","3,9","0,7","33,8"
80,Italy,random_trade,False,"2,135","1,5","1,5","1,7","0,8","2,2","1,6","1,9",2,"1,7","2,2","0,7","17,8"
81,North Africa,conservative_trade,False,"2,499","0,7",1,1,1,"1,1","0,6","0,8","1,6","1,9","1,3","1,3","12,3"
82,North Africa,random_trade,False,"1,71775","1,9","0,9","1,3","1,2","1,6","1,9","1,5","1,8","1,8","1,8","1,5","17,2"
83,North Africa,random_trade,False,"1,2155","1,5","0,6","1,8",1,"1,6","1,1","1,3","2,2","2,1","1,8","0,7","15,7"
84,North Africa,conservative_trade,False,"3,1235",1,"0,9","1,4","0,5","1,4","1,1","0,6","1,3","1,9","1,5","1,1","12,7"
85,North Africa,aggressive_trade,False,"4,608","3,6","0,3","2,5","0,8","6,3","2,4","1,9","4,4","5,5","5,6","0,8","34,1"
86,North Africa,random_trade,False,"3,5265","1,6","1,4","1,2",1,"1,5","1,6","1,2","1,7","2,4","1,9","1,1","16,6"
87,North Africa,random_trade,False,"2,19275","1,2","0,9","2,5","0,6","1,8",2,"1,8","1,5",2,"1,2","0,8","16,3"
88,North Africa,aggressive_trade,False,"3,12625","3,9","0,6","2,8","0,7","5,9","3,7","1,5","6,6","6,7","4,8","0,7","37,9"
89,North Africa,random_trade,False,"1,557","2,8","0,7","0,9",1,"1,5","1,3","1,8","2,1","1,8","1,5","0,6",16
90,North Africa,aggressive_trade,False,"1,73725","1,9","0,4","2,6","0,4","7,5","3,1","2,7","7,8","7,2","6,4","0,4","40,4"
91,Tarraconensis,random_trade,False,"2,8005",1,"0,4","1,4",1,"2,3","1,8","1,8",2,"1,9","1,7","1,1","16,4"
92,Tarraconensis,conservative_trade,False,"2,2415","1,3","1,6","1,1","1,6","1,1","0,8",1,"0,7",1,"0,8","0,8","11,8"
93,Tarraconensis,conservative_trade,False,"3,31675","0,8","2,1","1,3","1,1","1,4","0,8","1,5","1,3","0,8","1,3",1,"13,4"
94,Tarraconensis,aggressive_trade,False,"3,66975","2,8",1,"2,7","0,8","5,4","2,9","2,7",6,"5,4","5,2","0,7","35,6"
95,Tarraconensis,random_trade,False,"2,10975","1,1","0,9","1,4","0,8","2,2","1,2","1,9","2,3","2,4","2,2","1,3","17,7"
96,Tarraconensis,conservative_trade,False,"2,2115","0,8","0,9","0,9","1,2","1,5","0,9","1,4","1,5","1,4",1,"1,2","12,7"
97,Tarraconensis,conservative_trade,False,"3,3975","0,7","1,7","1,3","0,6","1,4","0,5","0,6","1,7","1,1","0,5","1,5","11,6"
98,Tarraconensis,aggressive_trade,False,"7,3375","2,8","0,6",2,"0,8","6,6","2,5","3,4","8,9","7,1",5,"0,8","40,5"
99,Tarraconensis,conservative_trade,False,"2,3945","1,1","1,3","0,9","0,7","1,7","0,7","1,3","0,9","1,1","1,3","1,4","12,4"
100,Tarraconensis,random_trade,False,"1,7605","2,2","1,2","1,2","0,9","1,7","1,5","1,4",2,"2,5","1,9","0,5",17
101,Western Mediterranean,conservative_trade,False,"4,5245","1,1","1,6","1,2","1,2","1,5","0,9","0,7","1,3","1,5",1,"0,7","12,7"
102,Western Mediterranean,conservative_trade,False,"2,7955",1,"1,5",1,"1,8","0,7","0,7",1,"1,9","1,6","1,2","0,8","13,2"
103,Western Mediterranean,random_trade,False,"3,242","1,3","0,7","1,7","0,9","2,9","2,2","1,1","2,6","2,5","2,6","0,9","19,4"
104,Western Mediterranean,conservative_trade,False,"4,06925","0,6","1,9","0,6","0,9","0,8","0,8","0,9",1,"1,2","1,4","1,8","11,9"
105,Western Mediterranean,conservative_trade,False,"2,2765","1,5","1,2","0,7","0,7","1,3","0,9","1,2","0,9","1,6","0,6","1,5","12,1"
106,Western Mediterranean,random_trade,False,"3,98125","1,1","0,8","0,9","0,8","2,6","2,2","1,7","2,1","3,3",2,"0,6","18,1"
107,Western Mediterranean,random_trade,False,"2,4385","1,6","0,6","1,4","0,9","2,1","1,8","1,2","2,5","2,8","2,6","1,1","18,6"
108,Western Mediterranean,conservative_trade,False,"4,4185","1,8","1,3","0,6",1,"0,9","0,6","1,2","1,4",1,"1,2","1,3","12,3"
109,Western Mediterranean,aggressive_trade,False,"7,8525",2,"0,1","1,6","0,3","11,3","0,7","0,9","10,8","12,1","3,8","0,2","43,8"
110,Western Mediterranean,conservative_trade,False,"2,36225","0,5","1,4","0,7","0,9","1,7",1,"0,9","1,4","1,2",1,"1,1","11,8"
