Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,BaeticanPottery,WMPottery,AdriaticPottery,IberianPottery,NAPottery,EgyptianPottery,GallicPottery,EMPottery,ItalianPottery,TarrPottery,AegeanPottery,total_pottery
16,Aegean,conservative_trade,False,"360,8","0,8","1,4","1,2","2,1","1,1","0,7","1,5",1,"1,3","1,1","0,9","13,1"
17,Aegean,aggressive_trade,False,"160,6","2,4","2,1","1,5",2,"1,8","1,6","1,2","1,2","1,5","2,2","2,1","19,6"
18,Aegean,aggressive_trade,False,"270,4",2,"2,2",2,"2,2",2,"1,3","2,8","1,5","1,6","1,1","2,5","21,2"
19,Aegean,aggressive_trade,False,"394,4","1,7","2,8","2,8",2,"2,4","1,8","2,2","1,8","1,3","1,3","1,7","21,8"
20,Aegean,aggressive_trade,False,"209,1","1,7","2,6","1,4","1,8","2,4","1,7","1,9","1,8","1,7","1,7",2,"20,7"
21,Baetica,random_trade,False,"160,8","1,2","1,2","1,9",2,"1,2","1,7","2,2","1,3","1,5","2,1","1,3","17,6"
22,Baetica,conservative_trade,False,286,1,"1,1","1,4","1,4","1,1","1,6",1,"1,1","1,2",2,"1,6","14,5"
23,Baetica,random_trade,False,"278,7","2,3",2,"2,1",2,"1,9","1,6","1,1","1,7","1,2","1,4","1,4","18,7"
24,Baetica,aggressive_trade,False,"184,5","3,2","1,8","1,5","1,5","1,9","2,2","2,6","1,5","2,8","2,1","1,5","22,6"
25,Baetica,random_trade,False,"163,1",2,1,"1,8","1,8","2,4","1,4","2,2","1,5","1,5","1,8",2,"19,4"
26,Baetica,random_trade,False,"250,7","1,8","1,7","2,1","0,8","2,2","1,4","2,2","1,3","2,3","1,2","1,8","18,8"
27,Baetica,aggressive_trade,False,"457,3","1,9","2,1","2,8","1,6","1,8",2,"1,5","1,8","1,9","2,7","1,3","21,4"
28,Baetica,conservative_trade,False,"311,5",1,"1,7","1,5","1,3",1,"1,7","1,6","1,3","1,6",1,"1,1","14,8"
29,Baetica,aggressive_trade,False,"394,1",2,"1,8","1,9",2,"2,5","3,1","1,8","1,9","2,9","2,3","1,6","23,8"
30,Baetica,aggressive_trade,False,"118,7","2,4","1,4","1,9",2,2,"1,7","1,4","2,6","1,8","2,4","1,4",21
31,Eastern Mediterranean,conservative_trade,False,"397,2","1,3","1,5","1,1","1,6","1,1","1,4","1,8","1,1","1,5","1,7","1,6","15,7"
32,Eastern Mediterranean,conservative_trade,False,"302,1","0,9",1,"1,6","1,4","1,4","0,9","2,2","1,4","0,6","1,4","0,7","13,5"
33,Eastern Mediterranean,aggressive_trade,False,"162,1","1,6",1,"1,5","1,8","1,8",2,3,"1,7","1,8","1,9","2,4","20,5"
34,Eastern Mediterranean,conservative_trade,False,"225,6","1,5","1,3","1,4","1,2","0,9","0,8","1,6","1,6","1,5","1,6","0,9","14,3"
35,Eastern Mediterranean,conservative_trade,False,400,"1,1","1,4","1,4","1,5","1,5","1,1","1,3","1,1","1,6","1,4","1,1","14,5"
36,Eastern Mediterranean,conservative_trade,False,161,"0,9","1,2","1,2","1,3","2,2","1,3","0,4","1,9","1,6","1,6","0,8","14,4"
37,Eastern Mediterranean,random_trade,False,"178,5",2,"1,2","1,7","1,8","1,7","1,4","1,4","1,7","1,7","1,5","1,5","17,6"
38,Eastern Mediterranean,aggressive_trade,False,"237,4",2,"2,2","2,1","2,3","1,9","1,8","2,2","3,3","1,2","2,3","2,1","23,4"
39,Eastern Mediterranean,conservative_trade,False,"211,1","1,4","1,7","1,6","2,1",1,1,"1,2","1,1","1,2","0,8","1,5","14,6"
40,Eastern Mediterranean,aggressive_trade,False,"360,8","1,8",2,"2,4","1,5","2,3","2,5","2,2","2,1","2,1","0,7","1,4",21
41,Egypt,conservative_trade,False,"390,3","1,2","1,4","1,6","1,6","0,9","1,5",1,"1,7","1,9","0,9","1,2","14,9"
42,Egypt,random_trade,False,"254,1","1,7","1,8","1,4",2,"1,9","1,9","1,6","1,2","1,3","1,8","1,5","18,1"
43,Egypt,aggressive_trade,False,"347,4","1,8","2,1","1,6","1,5","2,5","1,2",2,"2,9","1,6","2,6","2,5","22,3"
44,Egypt,random_trade,False,"288,3","1,6","1,6","1,9","1,2","1,5","2,2","1,7","0,8","2,1",2,"1,3","17,9"
45,Egypt,conservative_trade,False,"118,5","1,3","1,5","1,7",2,"1,6","1,4","1,2","0,9",1,"1,3","1,5","15,4"
46,Egypt,random_trade,False,170,"1,9","2,2","1,8","1,5","1,7","1,6","1,7","1,5",2,"2,1","1,5","19,5"
47,Egypt,aggressive_trade,False,"219,4","2,6","2,6","1,6","1,7","2,5","2,1",2,"2,1","1,6","1,2","2,2","22,2"
48,Egypt,random_trade,False,"256,9","1,9","1,9","1,6",2,"1,4","1,6","1,4","1,4","1,5","1,5","1,9","18,1"
49,Egypt,random_trade,False,"175,5","1,4","1,6","1,5","1,1","1,9","1,3","1,5","2,8","1,7","1,6","1,3","17,7"
50,Egypt,aggressive_trade,False,402,"2,6","2,2","1,5","2,8","1,6","2,2","2,4","2,3","2,9","2,6","1,9",25
51,Gallia,aggressive_trade,False,"170,1","2,5","2,6","1,6","2,5","2,2","1,8","2,3","1,5","2,5","2,6","2,2","24,3"
52,Gallia,aggressive_trade,False,"298,8","2,7","2,3","2,1",2,"2,3","1,9","2,5","1,9","1,9","3,4","1,5","24,5"
53,Gallia,conservative_trade,False,"250,2",1,1,"1,1","1,2","1,8","1,4","1,4","1,5",2,"1,5","1,8","15,7"
54,Gallia,random_trade,False,177,"1,7",2,"2,2","0,9","1,6","1,5","2,2","2,5","1,7","1,4","1,6","19,3"
55,Gallia,aggressive_trade,False,"205,9","2,6","2,3","1,5","2,8","2,6","1,7","1,9","2,4","1,8","1,6","1,5","22,7"
56,Gallia,conservative_trade,False,"172,6","0,8","1,6","1,8","1,3","1,7","1,2","1,3","1,2","1,5","1,2","1,8","15,4"
57,Gallia,conservative_trade,False,"316,2","1,5","0,9","1,5","0,9","1,8","2,1","0,9","1,2",2,"1,4","1,9","16,1"
58,Gallia,random_trade,False,"180,3","1,7","1,2","1,8","1,7","0,9","1,8",2,"1,8",2,"2,7","1,5","19,1"
59,Gallia,conservative_trade,False,"249,8","1,1","1,1","1,5","0,9","1,5","1,4","1,9","1,5","1,1","1,3","0,9","14,2"
60,Gallia,aggressive_trade,False,"191,7",3,"2,2",2,"1,5","2,6","1,8","1,3","3,2",2,3,"1,9","24,5"
61,Iberian Peninsula,conservative_trade,False,"271,4","1,1","1,2","1,5","1,7","1,4",1,"1,1","1,2","2,3","1,5","1,2","15,2"
62,Iberian Peninsula,aggressive_trade,False,"206,3","2,4","2,1","1,9","2,5","2,1","2,2","3,6","1,2","1,7","2,2","2,7","24,6"
63,Iberian Peninsula,conservative_trade,False,"233,9","1,2","1,6","1,6","1,2","1,4","0,9","1,4","1,3","1,4","1,7",2,"15,7"
64,Iberian Peninsula,aggressive_trade,False,"109,1","2,5","2,3","2,4","1,3","2,2","2,6","2,1","1,5","1,4","2,6","2,5","23,4"
65,Iberian Peninsula,random_trade,False,"274,1","1,6","2,4","1,8","1,4","1,1","1,6","1,7","1,9","2,4","1,7","1,5","19,1"
66,Iberian Peninsula,random_trade,False,"219,7","2,1","1,3","2,2","1,5","1,9","2,4","1,7","1,8","2,2","1,8","1,7","20,6"
67,Iberian Peninsula,aggressive_trade,False,"171,2","1,9","3,4",2,3,2,"2,7","1,8","1,6","3,3",2,"2,4","26,1"
68,Iberian Peninsula,aggressive_trade,False,"217,6","1,9","2,5","2,9","2,7","2,5","2,7","1,6","1,2",2,2,"1,8","23,8"
69,Iberian Peninsula,random_trade,False,"169,1","1,7","1,4","1,6","1,4","2,3","3,1","1,7","1,6","1,5",2,"1,2","19,5"
70,Iberian Peninsula,aggressive_trade,False,292,"2,1","2,6","2,3","2,6","2,5","2,8","1,8",3,"1,6","2,1","1,6",25
71,North Africa,random_trade,False,"372,6","2,1","1,8",2,2,2,"1,6","1,5","1,5","1,8","1,9","1,5","19,7"
72,North Africa,conservative_trade,False,"311,2","2,2","1,4","0,9","1,6","1,1","1,9","0,7","1,7","1,7","0,6","1,8","15,6"
73,North Africa,random_trade,False,"182,4","1,7","1,6","1,7","1,3","2,2","1,6","1,9","1,6","2,8","2,8",1,"20,2"
74,North Africa,conservative_trade,False,"301,3","1,4","0,9","1,5","0,9","1,2","0,8","1,5","1,6","1,6","1,9","1,5","14,8"
75,North Africa,random_trade,False,396,"1,2","2,1","1,4","2,2","1,7","1,7","1,1","1,5","1,5","1,9","2,1","18,4"
76,North Africa,conservative_trade,False,"206,4","1,6","1,9","1,1","1,5","1,5",2,"0,8","0,9","1,7","1,1","1,7","15,8"
77,North Africa,aggressive_trade,False,77,2,"2,3","3,2","2,5","1,6","2,1","1,7","3,1","2,5","3,1","2,6","26,7"
78,North Africa,aggressive_trade,False,"312,1",3,"2,3","2,3","2,8","2,3","2,7","2,2",2,"1,6","2,6","2,1","25,9"
79,North Africa,random_trade,False,"273,1","2,3",2,"1,9","2,6","1,4","1,2","1,5","1,8","1,8","1,2","1,1","18,8"
80,North Africa,random_trade,False,"243,5","1,8","1,5","2,2","2,3",1,"1,4","2,1",1,"1,9",2,"1,7","18,9"
81,Tarraconensis,conservative_trade,False,"216,1","0,7",2,"1,6","1,1","1,7",2,"2,2","0,9","1,5","1,2","1,7","16,6"
82,Tarraconensis,aggressive_trade,False,"379,1","1,7","1,8","2,2","2,5","3,5","2,7","2,6","2,3",2,2,"2,6","25,9"
83,Tarraconensis,conservative_trade,False,"132,7","1,3","1,5","1,2","2,2","1,2","1,3","0,8","1,1","1,9","1,6","1,3","15,4"
84,Tarraconensis,aggressive_trade,False,"90,5","2,6","1,6","1,9",2,"1,8","2,8","1,9","2,5",3,"2,1","2,2","24,4"
85,Tarraconensis,conservative_trade,False,"198,1","1,3","1,8","1,4","1,4","1,4","0,9","1,3","1,3","1,6","1,5","1,8","15,7"
86,Tarraconensis,aggressive_trade,False,264,"2,3",2,"3,3","2,4","2,1","2,3","3,7","2,5","2,2","1,3","2,5","26,6"
87,Tarraconensis,aggressive_trade,False,"142,4","2,4","2,5","2,5","1,8","2,3","3,3","2,2","2,3","2,4","2,7","1,9","26,3"
88,Tarraconensis,conservative_trade,False,"349,7","1,1","1,1","2,3","1,4","1,6","1,2","1,3","1,6","1,1","1,3","2,2","16,2"
89,Tarraconensis,aggressive_trade,False,"295,5","1,9","3,1","2,6","1,7","2,4","2,7","2,6","3,3","2,1","3,6","1,9","27,9"
90,Tarraconensis,aggressive_trade,False,"238,9","2,3","2,2","3,1","1,8","2,7","2,7","2,5","2,2","2,3","1,4","2,8",26
91,Western Mediterranean,random_trade,False,"329,5","2,7","1,5","1,6","1,9","1,7","1,6","2,3","2,1","2,4","1,6","2,5","21,9"
92,Western Mediterranean,aggressive_trade,False,"190,5","2,3","2,7","2,7","1,6","2,3",2,"2,2",2,"2,9","2,5",2,"25,2"
93,Western Mediterranean,random_trade,False,"422,5","1,7","1,7","1,5","2,2","2,1","1,7","2,1","2,2","1,7","2,2","2,6","21,7"
94,Western Mediterranean,random_trade,False,"173,6","1,8","2,5","2,5","2,3","2,2","2,7","3,2","1,1","1,9","1,8","2,1","24,1"
95,Western Mediterranean,aggressive_trade,False,"250,7","2,2","2,1",2,"2,6","2,8","1,7","2,3","2,2","2,9","2,1","1,6","24,5"
96,Western Mediterranean,aggressive_trade,False,"363,9","2,3","2,7","1,9","1,5","1,9","2,6","2,5","1,5","2,1","1,9","2,1",23
97,Western Mediterranean,random_trade,False,"169,8","1,6","1,9","2,7","1,4",2,"1,9","1,8","1,6","1,5",2,"2,7","21,1"
98,Western Mediterranean,random_trade,False,"273,1","2,4","1,1","1,3","2,8","1,4","2,7","1,8","2,3","1,7","2,9","2,4","22,8"
99,Western Mediterranean,random_trade,False,"271,9","1,5","1,6","2,1","1,3","1,5","2,7","1,3","2,9","2,3","2,4","1,5","21,1"
100,Western Mediterranean,aggressive_trade,False,"285,7","3,1","2,6","1,6","2,4","1,7",3,"2,7","2,6","2,3","2,3","3,3","27,6"
101,Italy,random_trade,False,"281,1","2,1","1,8","1,8","1,5","1,6","2,1","2,7","1,7","2,2","1,2","2,2","20,9"
102,Italy,random_trade,False,"357,3","2,2","1,6","1,9","1,6","1,9","2,4","2,6","1,8",2,"1,5","1,9","21,4"
103,Italy,aggressive_trade,False,"233,2","2,1","3,1","2,1","4,3","2,8",2,"1,6","2,9","1,8","2,6","1,9","27,2"
104,Italy,conservative_trade,False,"155,1","1,9",2,"1,7","1,3","1,8","1,3","1,5","1,9","1,7","1,6","0,8","17,5"
105,Italy,conservative_trade,False,"233,7","1,6","0,9","1,5","1,6","1,7","1,4","1,3","0,7","2,4","2,2","1,5","16,8"
106,Italy,random_trade,False,"279,7",2,"1,9","1,4","1,3","2,4","2,2","2,4","2,2","1,3","1,9",2,21
107,Italy,random_trade,False,"156,8","1,9","2,1","1,8","1,6","1,3",2,"3,2","3,2","1,2","1,5","2,1","21,9"
108,Italy,conservative_trade,False,"357,6","1,1","1,1","1,1",2,"1,8","1,4","2,2",2,1,"1,5","1,1","16,3"
109,Italy,conservative_trade,False,"288,5","1,4","2,1","2,2","1,7","0,6","1,6","1,6","1,9","1,5","1,6","1,3","17,5"
110,Italy,aggressive_trade,False,"219,4","2,1","2,9","2,1","2,4",2,"2,9","3,2",2,2,"2,8","2,2","26,6"
