Agent ID,Agent Class,Trade Behavior,Total Wealth,EgyptianPottery,AegeanPottery,WMPottery,EMPottery,ItalianPottery,NAPottery,IberianPottery,AdriaticPottery,TarrPottery,GallicPottery,BaeticanPottery
86,North Africa,aggressive_trade,0.0,10.2,8.2,8.1,8.9,6.1,6.7,8.4,9.4,6.4,9.2,8.2
87,North Africa,conservative_trade,0.0,1.8,1.7,1.9,1.6,1.7,1.4,1.4,1.5,2.5,1.4,1.3
88,North Africa,aggressive_trade,0.0,9.5,7.9,8.4,7.9,8.3,9.3,8.2,9.1,7.8,7.6,8.8
89,North Africa,aggressive_trade,640.9,9.1,7.7,9.8,9.6,8.3,10.5,9.7,9.8,7.9,7.8,10.8
90,North Africa,random_trade,0.0,3.4,3.2,2.2,4.4,3.6,2.8,3.7,3.1,3.9,4.1,3.3
91,Tarraconensis,aggressive_trade,0.0,9.9,7.7,9.3,10.1,10.3,6.5,8.0,7.1,8.7,7.3,8.6
92,Tarraconensis,aggressive_trade,0.0,6.6,10.2,8.6,8.6,8.1,7.5,9.5,7.4,9.2,8.0,7.6
93,Tarraconensis,random_trade,0.0,2.8,2.6,2.7,2.6,2.2,2.4,2.7,3.3,3.3,3.0,2.8
94,Tarraconensis,random_trade,0.0,3.1,2.9,3.0,3.4,1.9,3.2,2.6,3.5,2.7,2.5,3.2
95,Tarraconensis,conservative_trade,0.0,1.5,2.0,0.9,1.6,1.9,2.7,1.9,1.4,1.5,1.4,1.4
96,Tarraconensis,aggressive_trade,657.3,9.3,7.5,10.4,7.9,10.3,9.1,10.2,11.0,9.2,9.7,9.5
97,Tarraconensis,aggressive_trade,3469.1,9.4,10.3,10.2,10.5,9.1,10.0,11.3,8.4,9.1,10.9,10.0
98,Tarraconensis,aggressive_trade,5523.4,8.8,11.6,10.4,11.2,9.8,9.8,8.8,10.6,11.2,9.3,11.0
99,Tarraconensis,aggressive_trade,14795.2,10.7,11.1,9.1,10.6,9.6,12.7,11.0,10.7,9.6,12.5,12.7
100,Tarraconensis,conservative_trade,0.0,0.8,2.0,1.3,1.8,2.2,1.9,1.5,1.1,2.2,1.6,2.2
101,Western Mediterranean,random_trade,0.0,2.9,3.7,3.3,2.7,2.8,3.2,2.4,3.3,3.9,3.6,3.1
102,Western Mediterranean,conservative_trade,0.0,1.8,1.0,2.3,1.4,2.1,2.1,1.7,1.8,1.6,1.0,1.5
103,Western Mediterranean,conservative_trade,0.0,1.6,0.8,2.7,1.1,2.0,1.1,1.4,1.6,1.5,1.7,1.9
104,Western Mediterranean,random_trade,0.0,3.3,3.3,3.5,2.7,3.9,3.6,3.3,3.4,2.8,4.8,2.5
105,Western Mediterranean,random_trade,0.0,3.4,3.9,3.9,3.3,2.5,3.7,2.8,3.1,3.3,3.7,3.3
106,Western Mediterranean,conservative_trade,0.0,2.1,1.0,1.2,1.4,1.3,1.8,1.9,2.3,1.1,1.9,2.4
107,Western Mediterranean,aggressive_trade,9333.8,12.0,13.0,10.6,12.3,10.8,10.1,9.4,8.7,10.2,10.6,11.5
108,Western Mediterranean,random_trade,0.0,3.9,3.3,3.6,3.0,2.7,3.7,3.7,2.9,3.3,3.7,4.7
109,Western Mediterranean,conservative_trade,0.0,1.8,1.9,2.0,1.5,1.5,1.5,1.9,1.3,2.1,1.6,2.0
110,Western Mediterranean,aggressive_trade,19594.3,10.6,10.6,10.3,11.4,11.8,12.1,12.3,10.5,13.5,10.7,10.0
