Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,IberianPottery,TarrPottery,AegeanPottery,WMPottery,ItalianPottery,EMPottery,EgyptianPottery,NAPottery,BaeticanPottery,AdriaticPottery,GallicPottery,total_pottery
23,Baetica,aggressive_trade,False,"5,19625","0,4",3,3,"1,7","0,9","3,1","2,1","2,2","1,1","2,5","2,1","22,1"
24,Baetica,aggressive_trade,False,"1,982","0,5","4,4","2,7",2,"0,7","4,1","2,7","1,8","0,6","2,2","3,1","24,8"
25,Baetica,conservative_trade,False,"1,688","0,9","1,4","0,9",1,"1,1","0,7","1,3","0,6","1,9","0,8","1,4",12
26,Baetica,aggressive_trade,False,"2,35725","0,7","3,9","2,2","2,9","0,9","3,1","2,4","2,5","0,8","2,8","2,8",25
27,Baetica,random_trade,False,"1,65875","0,7","2,2","1,4","1,5",1,"1,5",1,"1,3","0,6","1,6","1,4","14,2"
28,Baetica,random_trade,False,"0,42675","0,5","1,9",1,"1,8","1,1",2,"1,2","2,3","0,7","0,8","1,5","14,8"
29,Baetica,aggressive_trade,False,"1,936","0,4","3,9","2,8","1,8","0,9","2,1","2,1","3,4","0,9","3,2","2,5",24
30,Baetica,conservative_trade,False,"2,7085","1,7","1,1","0,9","1,1","1,5","1,1","0,9","0,8","0,8",1,"0,6","11,5"
31,Baetica,random_trade,False,"2,231","1,6","1,3","1,1","1,4","1,2","1,3","1,7","1,1",1,"0,9","1,2","13,8"
32,Baetica,aggressive_trade,False,"0,84575","1,3","2,6","3,2","2,7","1,6","3,5","3,5","2,5","1,1","2,2","3,4","27,6"
33,State,aggressive_trade,False,"2,63","1,1","3,5","1,9","2,6","0,6","3,1","2,9","4,2","1,1","2,8","3,5","27,3"
34,Eastern Mediterranean,aggressive_trade,False,"5,46125","0,7","2,9","1,6","2,6","0,8","2,5","3,5","2,6","0,5",2,"3,3",23
35,Eastern Mediterranean,random_trade,False,"2,048","0,8","1,8","0,7","1,9","1,1","1,6",2,"0,6","1,3","1,8","1,8","15,4"
36,Eastern Mediterranean,conservative_trade,False,"2,455","1,8","0,8","0,9","0,5","1,4","1,2","1,2","0,5","2,1","0,7","0,6","11,7"
37,Eastern Mediterranean,conservative_trade,False,"1,2795","1,2","1,4",1,"1,3","1,2","0,9","0,8","1,3",1,"0,8","1,1",12
38,Eastern Mediterranean,conservative_trade,False,"2,977","1,6","1,3",1,"0,9","1,9","1,4","0,7","1,1","0,6",1,"0,7","12,2"
39,Eastern Mediterranean,random_trade,False,"1,929","1,6","1,2","1,5","1,9","0,9","1,4","2,1","1,7","0,8","1,2","1,2","15,5"
40,Eastern Mediterranean,aggressive_trade,False,"1,40025","0,9","4,6","2,6","2,1","0,7","1,7","3,3","3,5","0,9","2,3","1,6","24,2"
41,Eastern Mediterranean,random_trade,False,"0,756","0,9","1,7","1,9","0,9","0,2","1,8","1,6","1,7",1,"1,4","1,3","14,4"
42,Eastern Mediterranean,random_trade,False,"3,05825","0,5","1,5","1,4","2,2","0,9","1,7","0,9","1,5","1,8","1,7",1,"15,1"
43,Eastern Mediterranean,random_trade,False,"2,23975","1,5","1,2","2,2","1,1",1,"1,5",1,"1,2","1,3","1,1","0,9",14
44,State,random_trade,False,"1,55","0,6","0,9","2,1","2,6","1,1","2,3","1,7","1,9","1,1","1,2","1,4","16,9"
45,Egypt,aggressive_trade,False,"2,78925","0,7","3,5","2,3","2,7","1,3",3,"3,2","2,6","0,6","1,8","3,6","25,3"
46,Egypt,aggressive_trade,False,"3,194","0,9","4,1","3,1","4,5","1,5","2,7","2,1","2,9","0,7","2,7","2,3","27,5"
47,Egypt,random_trade,False,"1,44625","1,4",1,"1,4","1,6","0,5","1,4","1,7","1,5","1,2","1,3","1,1","14,1"
48,Egypt,random_trade,False,"1,7245","0,6","1,6","1,7","1,3","0,6","1,2","1,7","2,3","1,1","1,8","1,1",15
49,Egypt,random_trade,False,"2,07875",1,"1,7","1,2","1,4","0,8","1,4","1,8","1,3","1,2","1,7","1,6","15,1"
50,Egypt,aggressive_trade,False,"0,992","0,6","2,4","2,1","3,6","0,9","2,9","2,4","2,5","0,9","3,5",3,"24,8"
51,Egypt,random_trade,False,"3,3805","1,4","0,9","1,9",2,"0,5","1,5","1,5","2,4",1,"1,4","1,4","15,9"
52,Egypt,aggressive_trade,False,"1,17425","0,8","3,9","2,4","2,7","0,6","2,9","3,6","2,4","0,5","4,4","3,5","27,7"
53,Egypt,aggressive_trade,False,"1,6535",1,"3,8","3,2","1,8","1,2",3,"2,7",2,"0,7","2,5","3,4","25,3"
54,Egypt,aggressive_trade,False,"1,20825","2,1","3,9","2,6","3,9","0,8","2,2","3,2","2,1","0,7","2,2","4,3",28
55,State,aggressive_trade,False,"0,61","0,3",5,"2,7","3,2","0,7","2,5","3,5","3,2","0,5","5,6","3,6","30,8"
56,Gallia,aggressive_trade,False,"2,8085","1,1","4,6","3,3","3,2","0,6",3,2,"2,8","0,5","2,6","3,8","27,5"
57,Gallia,conservative_trade,False,"3,4435","0,9","0,9","1,1","0,6","1,8","1,3","0,7","1,2","0,8","1,5","1,2",12
58,Gallia,aggressive_trade,False,"2,69275","1,1","3,6","4,1","3,2",1,"2,8","2,8","2,5","0,9","2,6","2,2","26,8"
59,Gallia,conservative_trade,False,"4,22625","2,2",1,"0,5","0,9","1,2","1,2","0,6","1,8","1,2",1,1,"12,6"
60,Gallia,aggressive_trade,False,"1,83475","0,6","5,4","2,2","2,1","0,7","3,5","3,8","3,6","0,5","5,3","4,5","32,2"
61,Gallia,random_trade,False,"3,06325","0,9","2,5",2,"1,6","0,8","1,5",2,"1,6","0,3","1,5","1,2","15,9"
62,Gallia,random_trade,False,"2,09325","1,2","1,9","1,4",1,"0,8","1,1","1,2","1,5","0,9","1,4","1,7","14,1"
63,Gallia,conservative_trade,False,"2,126","1,1","1,7","0,8","0,9","1,1","0,8","1,3","1,2","1,4","0,9",1,"12,2"
64,Gallia,aggressive_trade,False,"0,97825","0,5","5,3","2,5","2,9","0,9","3,1","3,7",2,"0,9","5,3","2,4","29,5"
65,Gallia,aggressive_trade,False,"1,43425","0,8","6,9","3,1","2,7","0,6",2,"4,2","2,9","0,1","3,8","3,9",31
66,State,aggressive_trade,False,"1,19","0,4","5,5","2,4","2,4","0,2","2,2","5,9","2,6","0,2","5,9","5,6","33,3"
67,Iberian Peninsula,conservative_trade,False,"1,879","1,1","0,8","1,4","0,7","1,6","0,3",1,1,"1,6","1,2","1,2","11,9"
68,Iberian Peninsula,conservative_trade,False,"2,302","1,6","1,2","1,8","1,1","0,6","0,6","1,4","0,5","1,6","1,1","1,2","12,7"
69,Iberian Peninsula,aggressive_trade,False,"3,36225","1,6","3,7","4,2","3,4","0,7","3,3","3,1","3,2",1,"2,2","3,2","29,6"
70,Iberian Peninsula,random_trade,False,"1,6865","0,9","2,1","1,2","2,1",1,"1,5","1,3","1,4","0,5","2,3","1,7",16
71,Iberian Peninsula,aggressive_trade,False,"2,43325","0,7","3,8","1,9","2,5","0,8","2,4","4,5","2,3","0,6","3,6","4,4","27,5"
72,Iberian Peninsula,conservative_trade,False,"2,87975","1,5","1,6","0,6","0,8","0,9","0,6","1,6","1,2","1,2","0,7","1,4","12,1"
73,Iberian Peninsula,conservative_trade,False,"3,2715",1,"1,5","1,4","0,9","1,1","0,9","1,1","0,8","1,4","1,1",1,"12,2"
74,Iberian Peninsula,conservative_trade,False,"2,694","0,9","1,4","0,9","1,4","0,7","1,1","1,6","0,8","1,3","0,8",1,"11,9"
75,Iberian Peninsula,conservative_trade,False,"1,8765","0,7","1,5","0,4","1,5","1,1","0,8","0,8","1,2","1,5","1,2","1,3",12
76,Iberian Peninsula,random_trade,False,"2,06075","1,4","1,7","1,8","2,2","0,9","1,5",1,"2,1",1,"1,4","2,1","17,1"
77,State,random_trade,False,"2,1","0,5","2,2","1,6","1,6","0,9","2,6","1,5","1,5","1,3","1,7","1,9","17,3"
78,Italy,aggressive_trade,False,"0,9215","0,6","4,6","2,4","2,7","0,9","2,3","4,5",3,1,"4,3",4,"30,3"
79,Italy,aggressive_trade,False,"2,153","0,4","5,4","2,8",2,"0,6","1,9","6,2","1,7","0,7","5,4",5,"32,1"
80,Italy,aggressive_trade,False,"1,70425","0,8","4,6","3,8","2,1","0,4","2,9","5,2","2,1","0,6","5,7","4,7","32,9"
81,Italy,random_trade,False,"2,0785","1,1","1,4","1,3","1,3","1,1",2,"1,6","1,6","1,3",2,"1,4","16,1"
82,Italy,random_trade,False,"1,239","1,1","1,7",1,"1,8","1,1","1,4","1,5","1,6",1,"1,6","1,7","15,5"
83,Italy,aggressive_trade,False,"2,85075","0,8","4,6","3,2",3,"0,9","2,8","4,8","1,8","1,5",4,"4,6",32
84,Italy,random_trade,False,"1,18625","0,7","1,9","1,7","1,5","1,6","1,4",1,1,"1,2","1,8","1,8","15,6"
85,Italy,conservative_trade,False,"2,4375","1,5","0,9","1,1","0,8","1,2","0,8","0,6","1,6","1,3","1,2","1,3","12,3"
86,Italy,conservative_trade,False,"2,4765","1,7","0,7","1,7","0,7","0,9","1,4","0,7","0,6","0,8",1,"1,6","11,8"
87,Italy,aggressive_trade,False,"3,45575","0,8",6,"2,8","4,1","0,5","4,3","3,8","3,2","0,7","4,8","4,8","35,8"
88,State,aggressive_trade,False,"1,25","0,4",5,"1,4",2,"0,2","1,9","10,3","1,9","0,1","9,2","7,3","39,7"
89,North Africa,aggressive_trade,False,"5,644","0,7","5,4","2,7","2,6","0,7","2,1","6,9",2,"0,6","6,2","4,3","34,2"
90,North Africa,aggressive_trade,False,"1,7285","0,7","4,1",4,"2,8","0,5","4,1","3,3",3,"1,2","4,3","4,8","32,8"
91,North Africa,aggressive_trade,False,"2,3975","0,7",5,"2,4",3,"0,7","2,8","6,3","1,9","0,7",7,"4,9","35,4"
92,North Africa,aggressive_trade,False,"4,211","0,3","5,7","3,2","2,8","0,5","2,5","7,4","2,7","0,5",6,"6,1","37,7"
93,North Africa,random_trade,False,"1,50525","0,8","2,3","2,1","1,2","0,6","1,6","2,2","1,5","0,9","1,6","2,8","17,6"
94,North Africa,conservative_trade,False,"4,62975","1,3","1,2","0,8","1,3","1,8",1,"1,3","0,7","1,3","1,2","1,1",13
95,North Africa,random_trade,False,"1,109","0,8","1,9",2,"1,6","1,1","1,8","1,4","1,4","0,7","1,2","1,8","15,7"
96,North Africa,aggressive_trade,False,"2,733","1,3","4,8","2,9","4,6","0,7","3,1","4,8","2,8","0,4",4,"5,3","34,7"
97,North Africa,conservative_trade,False,"3,522",1,1,"1,4","0,8","1,1","1,1","0,9","1,2","1,5","1,5","0,6","12,1"
98,North Africa,aggressive_trade,False,"0,7625","0,5","5,7","2,8","2,8",1,"2,5","5,7","3,5",1,"5,8","6,4","37,7"
99,State,aggressive_trade,False,"1,94","0,1","4,8","1,4","2,4","0,7","1,3","9,3","2,1","0,9","8,3","9,1","40,4"
100,Tarraconensis,random_trade,False,"2,203",1,"2,3","1,6","1,3","0,7","0,8","2,7","1,8","0,8",2,"1,3","16,3"
101,Tarraconensis,random_trade,False,"2,107","0,6","1,9",1,"1,6","0,7","2,1","3,3","1,9","1,3","1,7","2,1","18,2"
102,Tarraconensis,aggressive_trade,False,"4,04275","0,6","6,9",3,3,"1,1","3,6","5,2","2,5","0,4","6,2","6,5",39
103,Tarraconensis,random_trade,False,"2,84275","1,8","1,9","1,7","1,1","1,1","2,3","1,8","1,5","1,2","1,4","2,1","17,9"
104,Tarraconensis,aggressive_trade,False,"2,545","1,1","4,8","4,1",3,"0,5","3,2","5,2","2,8","0,6","6,5","6,3","38,1"
105,Tarraconensis,conservative_trade,False,"2,605","1,6","1,4",1,"0,6","1,2","1,3","0,8","1,1","1,5",1,"0,9","12,4"
106,Tarraconensis,aggressive_trade,False,"3,742","0,4","5,6","2,5","1,1","0,6","2,9","8,4","2,4","0,2","6,2","8,3","38,6"
107,Tarraconensis,conservative_trade,False,"3,62875","0,9",1,1,"1,4",1,"0,2","1,6","0,8","1,3","1,7","1,4","12,3"
108,Tarraconensis,random_trade,False,"2,59375","1,3","2,3","0,8","1,3","1,3","1,9","1,2","2,1","0,8","1,4","1,3","15,7"
109,Tarraconensis,conservative_trade,False,"1,982","1,9",1,"0,7",1,"1,5","1,1",1,"0,4","1,4","1,5",1,"12,5"
110,State,conservative_trade,False,"1,08","1,6","1,3","1,1","0,7","1,2","0,9","0,9","1,2","1,4","1,7","1,6","13,6"
111,Western Mediterranean,conservative_trade,False,"1,3025","1,2","1,2",1,"1,4","0,9",1,"0,9","0,6","1,7","1,4","1,2","12,5"
112,Western Mediterranean,random_trade,False,"1,44225","1,2","1,1","2,5","1,9","1,6","1,6","1,3",1,"1,5","1,6","1,9","17,2"
113,Western Mediterranean,aggressive_trade,False,"7,431","0,7","5,7","3,1","2,6","0,7","2,4","6,6","3,7","0,5",8,"6,5","40,5"
114,Western Mediterranean,random_trade,False,"3,07875","0,9","3,7","0,7","1,8","0,5","1,2","2,2","1,1","0,6","2,4","3,1","18,2"
115,Western Mediterranean,conservative_trade,False,"4,666","1,6","0,8","0,6","0,8","1,3","1,3","1,2","1,2","1,5","0,9","1,2","12,4"
116,Western Mediterranean,aggressive_trade,False,"3,73225","0,8","4,4",3,"2,4",1,"2,7","6,6","1,9","0,5","7,3","8,5","39,1"
117,Western Mediterranean,conservative_trade,False,"2,515","1,1","1,2","1,3","0,5","1,6",1,"0,9","0,7","1,4","1,3","1,2","12,2"
118,Western Mediterranean,aggressive_trade,False,"9,0785","0,2","4,8","2,7","1,5","0,4","1,9","7,8",2,"0,4","9,2","9,6","40,5"
119,Western Mediterranean,conservative_trade,False,"2,523",1,"1,3",1,"0,9","0,7","1,1","1,4","1,2","1,3","0,9","1,3","12,1"
120,Western Mediterranean,conservative_trade,False,"1,1025","0,8","1,1","1,1","1,2",1,"1,2","1,1","1,9","1,4","0,4","1,1","12,3"
121,State,conservative_trade,False,"1,64",1,"1,4","0,8","1,1","1,3","1,1","1,1","1,8",1,"1,6","1,2","13,4"
