Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,AegeanPottery,EMPottery,NAPottery,AdriaticPottery,IberianPottery,GallicPottery,TarrPottery,BaeticanPottery,EgyptianPottery,ItalianPottery,total_pottery
22,Baetica,random_trade,False,"0,24775","2,9","2,8","1,6",3,"2,3","1,7","2,9","3,1","3,2","2,8","26,3"
23,Baetica,aggressive_trade,False,"0,375","5,9","5,4","3,9","5,4","4,6","4,3",4,"3,5","5,9","5,6","48,5"
24,Baetica,conservative_trade,False,"0,20575","1,3","1,5","1,8","1,1","1,4",2,"1,7",1,"1,7","1,5",15
25,Baetica,conservative_trade,False,"0,15925","1,1","1,4","1,7","1,5","1,1","2,4","1,6","1,9","1,3","1,6","15,6"
26,Baetica,random_trade,False,"0,2395","2,4","3,3","2,9","2,9","2,1","2,2",3,"2,9","2,8","1,8","26,3"
27,Baetica,aggressive_trade,False,"0,41525","4,5","4,6","4,7","4,5","3,8","6,2","6,8","5,3","4,5","4,7","49,6"
28,Baetica,aggressive_trade,False,"0,49225","5,7","4,1","5,2","6,3","4,8","4,2","6,1","4,1","5,3","5,1","50,9"
29,Baetica,random_trade,False,"0,186","1,8",3,"2,8","3,5","1,8","1,4","2,4","3,3","2,9","2,4","25,3"
30,Baetica,random_trade,False,"0,2395","2,8","1,9",3,"3,2","2,8","2,4","2,4",3,"2,7","2,5","26,7"
31,Eastern Mediterranean,aggressive_trade,False,"0,5055","4,6","4,6","3,4",5,"5,7","5,4","6,4","4,8",5,"4,8","49,7"
32,Eastern Mediterranean,aggressive_trade,False,"0,52175",5,"5,1","5,4","5,7","4,3","4,9","5,8","5,3","6,6","4,3","52,4"
33,Eastern Mediterranean,conservative_trade,False,"0,12725","1,5","2,1","1,1","0,9","1,6","1,9","1,6","2,6","1,6","1,3","16,2"
34,Eastern Mediterranean,aggressive_trade,False,"0,4930555556","3,8888888889","6,1111111111","4,7777777778","5,6666666667","5,1111111111",6,"5,1111111111","5,5555555556",5,"5,1111111111","52,3333333333"
34,Eastern Mediterranean,aggressive_trade,True,"640,58",4,4,5,2,5,4,9,9,9,13,64
35,Eastern Mediterranean,random_trade,False,"0,2255","2,8","2,2","1,8","1,5","3,6","2,5","2,8","2,8",2,"3,2","25,2"
36,Eastern Mediterranean,aggressive_trade,False,"0,4928125","5,25","4,875","6,25","4,625","7,625","4,5","5,625","5,25","5,125","4,875",54
36,Eastern Mediterranean,aggressive_trade,True,"635,73125",3,4,"6,5",8,5,"5,5",9,4,7,"8,5","60,5"
37,Eastern Mediterranean,random_trade,False,"0,30575","2,8","3,6","2,2","2,7","2,4","2,9","1,9","1,5","4,3","2,4","26,7"
38,Eastern Mediterranean,conservative_trade,False,"0,14625","1,6","1,3","1,5",2,"1,1","1,5","1,3","1,6","1,9","1,5","15,3"
39,Eastern Mediterranean,random_trade,False,"0,26025","3,1","2,2","3,2","2,5","3,1","2,2",3,"2,1","2,3","2,5","26,2"
40,Eastern Mediterranean,conservative_trade,False,"0,1075",1,2,"1,6","1,3","2,4","1,8","1,4",2,"1,6","1,6","16,7"
41,Egypt,aggressive_trade,False,"0,4908333333","6,4444444444",5,"4,6666666667",7,"6,4444444444","5,2222222222",5,"5,2222222222","5,3333333333","5,2222222222","55,5555555556"
41,Egypt,aggressive_trade,True,"70,035",5,7,9,5,8,1,4,8,15,1,63
42,Egypt,random_trade,False,"0,19175","2,6","2,8","2,2","3,2","2,5","2,4","2,3","2,3","2,5","2,9","25,7"
43,Egypt,random_trade,False,"0,25875","2,4","2,1","2,1","2,7","2,4","3,3",3,"2,6","2,4","2,8","25,8"
44,Egypt,random_trade,False,"0,33575","1,6","3,1","2,2","3,3","2,5","2,4","2,7","1,9","3,5","2,9","26,1"
45,Egypt,conservative_trade,False,"0,154","1,4","1,4","1,4","1,3","2,3","2,5","2,3","0,9","1,1","1,3","15,9"
46,Egypt,random_trade,False,"0,342","3,1","3,3",3,"2,2","2,5","2,5","2,8","2,4","2,5","2,1","26,4"
47,Egypt,random_trade,False,"0,24525","3,3","1,6","2,4","1,9","2,1","2,5","2,9","3,4","2,1","3,4","25,6"
48,Egypt,aggressive_trade,False,"0,5402777778","7,4444444444","4,4444444444","6,7777777778","7,1111111111",5,"5,3333333333","6,3333333333","3,8888888889","5,5555555556","4,3333333333","56,2222222222"
48,Egypt,aggressive_trade,True,"193,6775",6,13,3,5,3,9,3,4,5,8,59
49,Egypt,random_trade,False,"0,2855","2,3","3,9","3,4","2,2","1,9","2,4","1,9",4,"2,4","2,4","26,8"
50,Egypt,aggressive_trade,False,"0,425","5,5714285714",7,"5,8571428571","5,2857142857",4,"6,2857142857","5,5714285714","5,2857142857","5,8571428571","6,2857142857",57
50,Egypt,aggressive_trade,True,"949,7775","7,3333333333",8,"5,3333333333","4,3333333333",5,"5,6666666667",8,7,6,7,"63,6666666667"
51,Gallia,aggressive_trade,False,"0,664375","5,875",4,6,"5,875","5,625",8,"6,25","6,25",5,"4,875","57,75"
51,Gallia,aggressive_trade,True,"650,96375",4,"3,5",6,7,8,"5,5",9,"7,5",6,4,"60,5"
52,Gallia,aggressive_trade,False,"0,5945833333","6,6666666667",5,"6,1666666667","5,5",5,"4,5","6,5",6,6,"6,1666666667","57,5"
52,Gallia,aggressive_trade,True,"626,748125","8,5","5,25",7,"4,5","7,75","6,75",8,"4,25","6,75",5,"63,75"
53,Gallia,aggressive_trade,False,"0,88",5,"7,5",4,7,9,3,"6,5","7,5","3,5","6,5","59,5"
53,Gallia,aggressive_trade,True,"892,5309375","7,75","7,375","6,5","6,25","7,375","6,5","4,875","6,625","5,125","5,125","63,5"
54,Gallia,conservative_trade,False,"0,09525","1,3","1,4","1,6","2,5","1,1","1,4","2,3","1,9",1,"1,9","16,4"
55,Gallia,conservative_trade,False,"0,17","1,2","1,6",1,"1,4","1,7","1,4","2,4","1,6","2,3","2,2","16,8"
56,Gallia,random_trade,False,"0,2975","2,5","2,6","1,8","2,9","3,9","2,7","2,5","3,4","2,5","2,8","27,6"
57,Gallia,random_trade,False,"0,27125","2,5","3,1","3,6","2,8","2,2","2,3","2,9","3,2","3,2","2,6","28,4"
58,Gallia,random_trade,False,"0,31975","2,1",4,"2,2","3,2","3,3","2,6","2,5","3,1","3,4","3,2","29,6"
59,Gallia,random_trade,False,"0,27075","2,5","3,5","2,5","2,1","3,6","2,5","1,8","2,7","2,7","3,9","27,8"
60,Gallia,random_trade,False,"0,1915","3,3","2,2","2,5","2,4","2,4","3,2","3,4","2,5","2,8","3,6","28,3"
61,Iberian Peninsula,random_trade,False,"0,2575",3,"3,1","2,3","2,4","2,9","3,8","2,4","2,5","3,1","3,2","28,7"
62,Iberian Peninsula,aggressive_trade,False,"0,4870833333","6,6666666667","5,5","5,8333333333","6,1666666667","8,6666666667","4,8333333333","5,1666666667","6,1666666667","5,8333333333","4,3333333333","59,1666666667"
62,Iberian Peninsula,aggressive_trade,True,"1202,69875","5,25","7,5",8,"5,75","5,75","7,75","5,5",6,8,7,"66,5"
63,Iberian Peninsula,random_trade,False,"0,3245","2,8","2,9","4,1","2,5","3,9","2,6",3,"1,8","2,4","2,9","28,9"
64,Iberian Peninsula,conservative_trade,False,"0,1715","1,7","1,6","1,8","1,5","1,9","1,9","1,4",2,"1,6","1,4","16,8"
65,Iberian Peninsula,aggressive_trade,False,"0,361","6,4","4,6","6,8","6,6","5,2","5,8",6,"7,8",5,6,"60,2"
65,Iberian Peninsula,aggressive_trade,True,"857,933","6,2",7,"6,2",10,"4,4","7,2","7,6","6,2","5,4","6,2","66,4"
66,Iberian Peninsula,aggressive_trade,False,"0,2825",6,9,6,"6,5","2,5",10,"4,5",5,5,"5,5",60
66,Iberian Peninsula,aggressive_trade,True,"1087,6165625","7,5","5,375","5,625","8,625",7,5,8,"7,25","5,25","6,625","66,25"
67,Iberian Peninsula,aggressive_trade,False,"0,17625","6,5","8,5",5,"8,5",4,"7,5",6,4,"6,5",7,"63,5"
67,Iberian Peninsula,aggressive_trade,True,"1145,8278125","5,5","5,875","6,375","4,875",6,"7,5","6,75","8,375",7,"9,25","67,5"
68,Iberian Peninsula,aggressive_trade,False,"0,73375","8,5",7,5,"6,5",6,"6,5",5,"5,5","7,5",7,"64,5"
68,Iberian Peninsula,aggressive_trade,True,"1387,229375","7,5","7,375","7,125","6,25",8,"8,5","7,25","4,5","7,625","6,625","70,75"
69,Iberian Peninsula,random_trade,False,"0,32275","1,9","2,2","2,2","2,8","3,1","2,7","3,6","2,8","3,3",2,"26,6"
70,Iberian Peninsula,random_trade,False,"0,29025","3,4","2,5","2,3","3,1","3,2","3,2","3,5","3,6","2,5","2,9","30,2"
71,Italy,random_trade,False,"0,2855","2,5","3,7","2,7","3,3","3,7","3,7","3,2",3,"3,8","1,6","31,2"
72,Italy,random_trade,False,"0,273","2,8","4,2","2,7","3,2","2,8","3,9",3,"3,2","3,2","2,6","31,6"
73,Italy,conservative_trade,False,"0,15925","1,8",1,"1,5","1,8","1,1","1,5","2,1","1,9","2,1","1,5","16,3"
74,Italy,random_trade,False,"0,268","2,6",3,"3,7","2,1","2,9","2,6","2,4",2,4,4,"29,3"
75,Italy,conservative_trade,False,"0,15","2,4","1,5","1,6","1,7","1,8","1,9",2,"1,5","1,4","1,4","17,2"
76,Italy,random_trade,False,"0,196","2,8","3,1","3,8","2,5","2,6","3,2","2,3","2,4","3,8","2,3","28,8"
77,Italy,aggressive_trade,False,"0,748125","7,25","5,75","8,5",5,"8,25","5,75","7,75",5,"4,5","6,5","64,25"
77,Italy,aggressive_trade,True,"1222,7633333333",6,7,"6,3333333333","6,3333333333","8,1666666667","9,6666666667","6,5","6,1666666667","6,5","7,5","70,1666666667"
78,Italy,random_trade,False,"0,31375","2,4","3,1","2,4","2,9",3,"2,3","3,5","2,6","3,3",3,"28,5"
79,Italy,random_trade,False,"0,30175","3,6",3,"2,1","2,5","3,5",2,"2,8","3,6","3,4","3,5",30
80,Italy,random_trade,False,"0,264","3,1","3,7","3,8","2,6","3,2","2,9","1,9","3,2","2,6","2,8","29,8"
81,North Africa,random_trade,False,"0,26075","3,1","2,8","2,7","3,5","2,7","2,1","2,8","2,9","3,3","3,1",29
82,North Africa,conservative_trade,False,"0,16375","1,8","1,6","2,5","1,4","1,5","1,6","2,4","2,3","1,2","1,4","17,7"
83,North Africa,aggressive_trade,True,"1554,696","6,3","5,2","5,1","7,8","6,6","8,2","6,3","8,1","7,8","8,2","69,6"
84,North Africa,conservative_trade,False,"0,2165","1,5","1,3","1,9","1,5","2,2","2,2","1,7","1,7","1,8","2,3","18,1"
85,North Africa,aggressive_trade,True,"2284,264","6,3","6,4","8,8","7,3","6,5",7,"6,1","7,7","7,4","7,7","71,2"
86,North Africa,conservative_trade,False,"0,15975","1,8","2,1","1,2","2,2","1,9",2,"1,4","2,1","1,4","1,6","17,7"
87,North Africa,aggressive_trade,False,"0,9725",6,6,8,5,5,14,4,3,3,6,60
87,North Africa,aggressive_trade,True,"1545,1919444444","7,2222222222","8,3333333333","8,8888888889","5,3333333333","8,1111111111","5,1111111111","6,5555555556","7,2222222222","6,5555555556","7,2222222222","70,5555555556"
88,North Africa,aggressive_trade,True,"1924,60825","8,5","6,6",7,"6,2","9,2","6,6","6,7","6,4","6,5","7,7","71,4"
89,North Africa,aggressive_trade,False,"0,17",9,4,4,7,8,4,3,7,4,11,61
89,North Africa,aggressive_trade,True,"2669,7188888889","6,3333333333","6,5555555556","7,8888888889","6,8888888889","6,8888888889","7,7777777778","6,8888888889","8,4444444444","7,3333333333","9,1111111111","74,1111111111"
90,North Africa,aggressive_trade,True,"2648,1995","8,2","8,1","6,6",8,"7,5","7,6","7,1",6,"8,4","7,4","74,9"
91,Tarraconensis,random_trade,False,"0,278","2,9","3,1","3,3","2,1","3,6","3,4","3,8","2,4",3,"2,6","30,2"
92,Tarraconensis,conservative_trade,False,"0,10775","1,8","0,6","2,1","2,1","1,2","1,9","1,9","1,6","2,1","1,8","17,1"
93,Tarraconensis,aggressive_trade,True,"2022,3995","7,8","7,3","7,9","7,8","7,7","7,6","5,9","8,2","8,1","5,5","73,8"
94,Tarraconensis,aggressive_trade,True,"2596,6865","7,8","8,9","7,9","6,6","7,5","10,7","7,1","7,9",7,"5,9","77,3"
95,Tarraconensis,conservative_trade,False,"0,17625","1,8","1,6","1,5","1,7","2,2","1,9","1,9","1,9","2,2","0,9","17,6"
96,Tarraconensis,aggressive_trade,True,"3232,19425","8,7","8,7",8,"7,9","8,3","5,9","7,4","6,9","6,5","9,1","77,4"
97,Tarraconensis,aggressive_trade,True,"2708,30425","7,9","7,6","7,3","6,8",9,"6,7","8,5","8,8","7,2","7,4","77,2"
98,Tarraconensis,aggressive_trade,True,"2932,9015","6,9","7,8","8,2","8,4","6,8","6,4","7,7","9,1","8,3","7,6","77,2"
99,Tarraconensis,random_trade,False,"0,4445",3,"3,5",3,"3,9",3,"3,8","3,4","3,2","3,4","4,6","34,8"
100,Tarraconensis,conservative_trade,False,"0,1345","1,9","2,2","1,4","1,2","1,8","2,2","2,2","1,6","1,7","1,5","17,7"
