Agent ID	Agent Class	Trade Behavior	Active	Total Wealth	ItalianPottery	NAPottery	GallicPottery	TarrPottery	EgyptianPottery	WMPottery	AdriaticPottery	EMPottery	IberianPottery	BaeticanPottery	AegeanPottery	total
25	Baetica	random_trade	False	1,79	0,9	1,5	1,9	1,4	1,4	1,3	1,2	1,4	1,5	0,7	2,1	15,3
26	Baetica	random_trade	False	1,03	0,9	1,6	1	3,1	1,8	1,5	1,3	1,9	0,6	1,1	1	15,8
27	Baetica	conservative_trade	False	1,88	1,1	0,7	1,2	0,4	1,1	1,3	1,1	0,8	1,7	1,2	0,8	11,4
28	Baetica	conservative_trade	False	3,1	1,2	1,2	0,8	1,4	0,7	0,8	0,6	1,5	1,1	1,6	0,8	11,7
29	Baetica	aggressive_trade	False	1,31	0,9	3,2	2,5	2,9	2,3	3,1	4	3,2	1,1	0,7	1,8	25,7
30	Baetica	random_trade	False	1,55	0,8	2,2	1	2,6	0,7	1,3	1,8	0,9	1	1,4	2,6	16,3
31	Eastern Mediterranean	conservative_trade	False	2,34	1	1	1,2	0,4	0,9	0,9	1,1	1,1	1,3	1,1	1,2	11,2
32	Eastern Mediterranean	random_trade	False	1,07	1	0,9	1,7	2,3	1	2,1	1,3	1,5	0,7	0,8	1,2	14,5
33	Eastern Mediterranean	conservative_trade	False	1,73	2,1	0,6	0,5	0,5	1,3	1,3	1	0,6	1,2	1,4	0,8	11,3
34	Eastern Mediterranean	aggressive_trade	False	0,82	0,2	2,2	4,9	5,3	3,4	3	2,4	2,9	0,9	1,2	2,6	29
35	Eastern Mediterranean	aggressive_trade	False	1,39	0,7	2,2	3,2	5,4	2,7	3,1	2,4	3,4	0,4	0,8	3,3	27,6
36	Eastern Mediterranean	aggressive_trade	False	1,34	1,2	2,5	3,6	5,9	3,5	2,4	3,8	2,9	0,6	1	2,8	30,2
37	Eastern Mediterranean	aggressive_trade	False	1,03	0,5	2,8	3,1	5,2	3,1	3,3	3,8	3,9	1	0,6	2,5	29,8
38	Eastern Mediterranean	aggressive_trade	False	1,89	0,4	2,5	3,5	5,4	4,2	3,5	6,1	2,1	0,6	1,1	2,9	32,3
39	Eastern Mediterranean	aggressive_trade	False	0,81	0,7	3,6	5,3	5,9	5,1	2,9	3,3	3,6	0,8	0,7	3	34,9
40	Eastern Mediterranean	random_trade	False	1,96	0,8	1,2	2,2	1,3	1,1	2,2	1,3	1,8	1	1,5	1,3	15,7
41	Egypt	random_trade	False	2,25	0,9	2	1,6	1,7	1	1,3	1,8	2,4	0,6	1,2	1,6	16,1
42	Egypt	random_trade	False	1,2	0,8	1,5	1,6	1,7	1,7	2	1,5	0,6	1,1	0,8	1,4	14,7
43	Egypt	random_trade	False	3,23	1,3	1,7	1,8	2	1,2	1,6	1	1,4	0,7	1	1	14,7
44	Egypt	conservative_trade	False	2,35	1,4	0,7	1,4	1,3	0,8	0,8	1,2	0,8	1,4	1,1	0,9	11,8
45	Egypt	aggressive_trade	False	0,92	1,2	3,3	2,1	4	4,1	2,2	2,9	2,4	1,2	1,3	3,8	28,5
46	Egypt	aggressive_trade	False	0,84	0,3	3,7	4,8	4,8	2,2	3,5	2,6	2,2	0,5	1,1	2,7	28,4
47	Egypt	aggressive_trade	False	1,88	1	3,5	3,4	5,3	3,4	3,7	2,3	3,1	1,1	0,8	3,5	31,1
48	Egypt	random_trade	False	2,68	0,6	2,4	1,3	2,8	1,4	1,6	1,3	1,6	0,7	0,9	1,5	16,1
49	Egypt	conservative_trade	False	1,96	1,1	1	1,2	1,3	1,3	1,3	0,9	1,3	0,9	0,6	0,6	11,5
50	Egypt	aggressive_trade	False	1,18	0,5	4,1	5,6	6,6	3,6	3,6	5,6	3	0,7	0,7	3,2	37,2
51	Gallia	aggressive_trade	False	0,99	1,2	3,1	2,2	4	3,5	3,4	2,7	3,5	1	0,9	4,7	30,2
52	Gallia	aggressive_trade	False	1,85	1,2	3,5	4	5,9	4,6	2,6	2,8	4,4	0,7	0,6	3,1	33,4
53	Gallia	aggressive_trade	False	1,35	0,6	3,9	4,9	5,3	4,6	4	3	4,1	0,5	0,7	3,6	35,2
54	Gallia	random_trade	False	0,94	1,1	1,6	1,5	1,6	2,4	1,5	1,2	1,5	1,1	1	1,9	16,4
55	Gallia	conservative_trade	False	1	1,1	0,8	0,8	0,8	1	1,3	1,2	1	1,1	0,8	1,7	11,6
56	Gallia	aggressive_trade	False	1,09	0,3	2,9	6,5	5,2	5,1	2,4	4,3	2,5	1	0,4	2,9	33,5
57	Gallia	aggressive_trade	False	1,2	0,5	3,5	4,2	6,8	6,2	3,5	4,7	3,8	0,5	0,8	3,3	37,8
58	Gallia	aggressive_trade	False	1,15	1,2	3,3	6,8	6,5	6,7	2,6	4,9	3,4	0,6	1	3,2	40,2
59	Gallia	random_trade	False	2,02	1,2	1,4	2,2	1,8	1,5	1,4	1,2	1,6	1,2	1,3	1,4	16,2
60	Gallia	random_trade	False	1,93	1	1,8	1,9	2	1,5	2,3	2,2	1,8	0,9	0,7	1,6	17,7
61	Iberian Peninsula	conservative_trade	False	1,88	0,5	1,3	0,9	2,2	1,2	1,3	1,1	0,7	0,9	1,4	1	12,5
62	Iberian Peninsula	random_trade	False	0,79	0,7	1,8	2,6	2,6	2,2	2,3	1,8	2	1,3	0,5	1,2	19
63	Iberian Peninsula	random_trade	False	2,42	1,2	1,3	2,2	1,7	1,7	1,3	1,3	1,1	0,7	1,2	2,1	15,8
64	Iberian Peninsula	random_trade	False	0,97	1	1,2	2,4	2,6	1,2	1,5	1,2	1,2	1,6	1	1,4	16,3
65	Iberian Peninsula	conservative_trade	False	1,09	1,4	1,2	1,3	1,2	1	0,7	0,9	1,3	0,8	1,2	1,2	12,2
66	Iberian Peninsula	conservative_trade	False	2,31	1,3	1,2	1,6	1,2	0,9	0,9	1,2	0,7	0,9	1,4	1,1	12,4
67	Iberian Peninsula	conservative_trade	False	0,92	1,3	0,7	1,2	1,6	1,2	1	1,3	1,2	1,5	1,5	0,8	13,3
68	Iberian Peninsula	conservative_trade	False	1,81	1,5	1,4	0,7	0,8	1,6	1,5	0,9	0,7	1	0,9	0,9	11,9
69	Iberian Peninsula	aggressive_trade	False	1,37	1	4,2	4,9	4,1	4,6	3,1	4	3,3	0,8	0,8	3,2	34
70	Iberian Peninsula	conservative_trade	False	1,25	1,6	1,2	0,8	1,2	0,9	1,6	1,3	1,2	0,9	1,2	0,9	12,8
71	Italy	conservative_trade	False	2,13	1,3	0,6	1,2	0,8	1,1	0,8	1,4	0,8	1,4	1,4	1,3	12,1
72	Italy	random_trade	False	0,79	0,7	2	2,1	1,5	1,6	0,9	1,5	1,4	1	1,3	1,8	15,8
73	Italy	aggressive_trade	False	1,04	0,8	3,3	4,8	5,9	4,6	3,7	5,3	4	0,7	0,4	3,7	37,2
74	Italy	conservative_trade	False	1,9	1,1	1,1	1,1	0,8	1,1	1,2	1,5	0,9	1,1	1,4	0,8	12,1
75	Italy	conservative_trade	False	1,47	1,4	1,5	0,4	1,4	1	1,2	1,5	1,5	0,9	0,9	0,7	12,4
76	Italy	random_trade	False	2,95	0,9	1,2	1,7	1,6	1,8	1,4	1	2,4	0,5	1,4	1,7	15,6
77	Italy	aggressive_trade	False	1,02	0,6	4	6,8	7,2	7,5	3	6,3	3	0,5	0,6	3,1	42,6
78	Italy	aggressive_trade	False	1,89	0,3	3,2	4,2	7,1	5,6	4,2	8	4,1	0,7	0,5	4,6	42,5
79	Italy	aggressive_trade	False	2,3	0,6	2,6	6,1	6,4	6,5	3,1	8,4	3	0,8	0,9	2,8	41,2
80	Italy	conservative_trade	False	3,22	1,3	1,2	0,9	1,2	1,2	0,6	1,2	1,1	1,5	1,2	1	12,4
81	North Africa	aggressive_trade	False	1,05	1,8	4	5	4,5	4,1	4,2	3,8	4	1,5	1,3	3,2	37,4
82	North Africa	aggressive_trade	False	0,94	0,3	3	8	6,3	6,5	2,7	6,7	3,1	0,7	0,5	2,9	40,7
83	North Africa	random_trade	False	1,17	0,9	1,5	2,1	1,6	1,8	1,6	1,5	1,3	0,6	1,3	2	16,2
84	North Africa	conservative_trade	False	2,15	0,9	1,2	1,2	1,5	1,6	1,2	1,4	1	0,9	0,8	0,9	12,6
85	North Africa	conservative_trade	False	2,1	1,5	1,3	0,9	0,9	1,4	0,8	1,4	0,6	1,9	1,3	0,7	12,7
86	North Africa	random_trade	False	2,34	1,4	1,6	1,4	1,8	1,2	2	2	2	0,8	1,1	1,3	16,6
87	North Africa	random_trade	False	1,59	0,7	1,6	1,8	2,2	2,2	1,5	2,7	2	0,5	0,4	1,5	17,1
88	North Africa	random_trade	False	1,8	1,1	2,2	1,6	2,7	2,5	2	1,3	1,4	0,6	0,9	1,6	17,9
89	North Africa	random_trade	False	2,27	1	1,6	2,2	2,7	2,6	0,7	1,6	1,4	1,1	0,4	1,4	16,7
90	North Africa	aggressive_trade	False	1,52	1,1	4,2	7,4	6,8	7	4,8	6,7	4,5	0,7	0,7	4,9	48,8
91	Tarraconensis	aggressive_trade	False	2,29	1,3	3,5	4,6	5,1	7,7	2,9	4,2	2,1	0,8	0,5	3,4	36,1
92	Tarraconensis	conservative_trade	False	1,92	1,4	0,4	1,2	0,4	1,3	1,6	1,3	1	1	1,3	0,9	11,8
93	Tarraconensis	aggressive_trade	False	1,32	0,3	2,7	9,7	5	8,5	3,9	10	3,7	0,4	0,6	2,8	47,6
94	Tarraconensis	aggressive_trade	False	0,96	0,6	3,2	6	6,1	6,9	2,7	6,9	4,7	1	0,1	3,1	41,3
95	Tarraconensis	aggressive_trade	False	2,22	0,5	2,9	8,5	4,9	8,9	3,7	9,3	2,5	0,7	0,5	3,2	45,6
96	Tarraconensis	random_trade	False	1,15	0,9	1,5	2,3	2	1,6	0,9	1,8	1,7	0,8	0,9	2,7	17,1
97	Tarraconensis	random_trade	False	2,79	0,9	0,8	1,4	1,8	1,5	1,5	2,3	2,2	1,1	1,2	1,7	16,4
98	Tarraconensis	random_trade	False	1,6	1,3	0,8	2,1	1,9	1,9	1,5	2,4	1,4	1,1	1,1	1,8	17,3
99	Tarraconensis	aggressive_trade	False	1,83	0,4	3,8	9,7	5,8	11,4	3,7	10,6	2,8	0,7	0,1	3,1	52,1
100	Tarraconensis	random_trade	False	1,72	1,1	1,4	2,2	2,5	2,4	0,8	2,5	1,6	1	1,4	1	17,9
101	Western Mediterranean	random_trade	False	0,93	0,7	1,8	1,8	1,9	1,6	0,8	3,1	1,2	1,3	1	1,4	16,6
102	Western Mediterranean	random_trade	False	1,28	0,3	1,8	2	2,2	2,6	1,2	2,8	1,8	0,7	1	2,2	18,6
103	Western Mediterranean	random_trade	False	1,76	1,2	1,9	2,1	1,8	1,8	1,2	1,2	1,1	1,2	1,6	1,8	16,9
104	Western Mediterranean	aggressive_trade	False	1,09	0,5	4,1	5,4	6,6	5,7	3,6	6,5	3,9	0,5	0,5	3,9	41,2
105	Western Mediterranean	conservative_trade	False	1,1	0,8	0,8	1,8	1,4	0,8	1,1	1,1	1,4	1,6	0,8	1,5	13,1
106	Western Mediterranean	conservative_trade	False	2,59	1	1,1	1,1	1,1	1,1	1,2	1,9	1,5	0,8	1,4	0,7	12,9
107	Western Mediterranean	conservative_trade	False	1,88	0,7	1,4	1,6	0,9	1,3	1,2	0,9	1,1	0,8	1,6	0,9	12,4
108	Western Mediterranean	random_trade	False	2,53	0,6	1,1	2,5	2,6	3,3	2,6	3,1	1	0,6	0,9	1,5	19,8
109	Western Mediterranean	aggressive_trade	False	5,23	0,2	3,6	14,1	5,7	12	2,5	13,5	2,5	0,4	0,6	2,2	57,3
110	Western Mediterranean	random_trade	False	1,5	1,1	1,6	1,7	3,5	1,7	1,6	1,7	2,2	1,4	1,3	1,2	19
