Agent ID	Agent Class	Trade Behavior	Active	Total Wealth	IberianPottery	GallicPottery	ItalianPottery	EMPottery	AdriaticPottery	AegeanPottery	NAPottery	TarrPottery	BaeticanPottery	EgyptianPottery	WMPottery	total
36	Eastern Mediterranean	conservative_trade	False	1,28	1,4	0,8	1,3	0,9	0,6	0,9	1,4	1,3	0,6	1,8	1,2	12,2
37	Eastern Mediterranean	conservative_trade	False	1,73	1,4	0,8	0,8	0,6	1,1	1,1	1,3	1,6	1,1	1,2	0,8	11,8
38	Eastern Mediterranean	aggressive_trade	False	1,04	0,6	4,5	0,9	3,6	3,4	4,3	3,6	3,5	1,1	3,1	3,6	32,2
39	Eastern Mediterranean	random_trade	False	1,45	1,1	2	1,5	0,8	1,7	0,7	1,4	2,3	0,9	1,7	1,4	15,5
40	Eastern Mediterranean	aggressive_trade	False	1,03	0,6	4,9	1	3,6	3,5	3,5	3,7	5,6	1,3	3,7	2,9	34,3
41	Egypt	random_trade	False	1,44	1,6	2	1,2	1,1	1,8	1,2	1,5	0,8	0,5	1,6	1,1	14,4
42	Egypt	conservative_trade	False	1,31	1,2	1	0,6	1	0,7	1,6	0,7	1	1,6	1,6	0,7	11,7
43	Egypt	conservative_trade	False	2,65	1,5	1,2	1,1	0,9	1,1	0,9	0,8	0,9	1,5	1,2	0,9	12
44	Egypt	aggressive_trade	False	0,73	1	3	1,3	2,3	3,9	4	3	6,5	0,4	3,2	3,1	31,7
45	Egypt	random_trade	False	1,09	0,3	1,4	0,6	1,2	1,3	2,4	1,9	1,2	1,4	1	1	13,7
46	Egypt	conservative_trade	False	2,23	1,4	1	1	0,8	0,9	1,2	1	1,3	0,9	1,2	1	11,7
47	Egypt	aggressive_trade	False	0,95	1,6	3,5	1	3,8	4	3,3	4,2	3,8	0,8	4,5	3,5	34
48	Egypt	aggressive_trade	False	0,64	0,8	6	0,8	3,6	3,8	3,4	2,7	7,3	0,5	4,1	2,7	35,7
49	Egypt	aggressive_trade	False	1,63	0,5	3,5	0,8	3,1	5,4	4,2	3,9	6,9	0,6	6	3,3	38,2
50	Egypt	random_trade	False	0,96	1,1	1,8	1	2,6	1,1	1,2	1,7	1,7	1,2	1,2	1,5	16,1
51	Gallia	aggressive_trade	False	1	0,5	3,8	0,9	3	3,9	3,3	3,1	4,8	1,3	5	4,6	34,2
52	Gallia	conservative_trade	False	1,22	1,7	1,3	1,3	0,6	0,9	0,7	1,6	0,9	1,1	0,7	1,2	12
53	Gallia	random_trade	False	1,93	0,6	2,1	1,1	1,7	1,2	1,4	1,5	2,3	1,4	2,3	2	17,6
54	Gallia	random_trade	False	0,92	0,5	2,2	0,8	1,3	1,6	1,7	1,9	2,2	1	1,5	1,1	15,8
55	Gallia	random_trade	False	2,81	0,7	2	1,2	2	2,2	1,3	0,8	2	0,6	1,7	2,1	16,6
56	Gallia	random_trade	False	0,91	1,4	1,7	0,7	1,1	1,6	1,2	0,9	2,2	0,8	1,3	2,1	15
57	Gallia	aggressive_trade	False	2,19	0,7	5,7	0,7	3,2	6,9	2,6	2,8	6,7	1	5,8	3,2	39,3
58	Gallia	conservative_trade	False	2,56	0,7	1,4	0,6	0,9	1,2	0,7	1,6	1,4	1,5	0,6	1,1	11,7
59	Gallia	conservative_trade	False	1,29	1,3	1,3	1,5	0,6	1	1	1,1	1,1	1,1	1	1,7	12,7
60	Gallia	random_trade	False	1,17	1,4	1,7	0,9	0,7	1,9	1,6	1,8	1,9	1,3	1,8	2,2	17,2
61	Iberian Peninsula	random_trade	False	1,19	0,8	2,3	1	0,9	1,4	1,9	2,3	1,9	0,8	1,9	1,9	17,1
62	Iberian Peninsula	conservative_trade	False	1,86	1,8	0,8	1,7	1,6	1,4	0,8	0,9	0,7	0,8	0,7	1,3	12,5
63	Iberian Peninsula	conservative_trade	False	3,14	1,1	0,6	0,7	0,9	0,9	1,2	0,7	1	1,8	1,2	1,4	11,5
64	Iberian Peninsula	conservative_trade	False	1,86	1,9	1,5	1,3	0,7	1,1	0,7	1,9	0,9	0,8	1,2	0,7	12,7
65	Iberian Peninsula	random_trade	False	0,97	1	1,7	1	1,7	2,5	1,6	1,4	2,1	1,1	1,7	1,5	17,3
66	Iberian Peninsula	conservative_trade	False	1,84	1,6	1,6	1,6	0,5	1,2	1,2	1,1	0,9	1	1,6	1	13,3
67	Iberian Peninsula	aggressive_trade	False	1,37	0,9	6,5	1,5	4,1	4,2	3,3	3,7	6,2	1	6,2	3,2	40,8
68	Iberian Peninsula	conservative_trade	False	1,95	1,9	1,7	1,7	0,7	1,3	0,6	0,8	0,9	1,7	0,6	0,7	12,6
69	Iberian Peninsula	random_trade	False	1,73	1	3	0,7	1,7	1,4	1,6	1,6	1,8	1,1	2	1,6	17,5
70	Iberian Peninsula	conservative_trade	False	1,57	1	1	1,6	1	1,3	0,9	1,1	0,6	1,1	1,9	1,1	12,6
71	Italy	aggressive_trade	False	1,14	1	4,4	1,1	3,1	5,2	3,7	4,9	6,7	1	4,6	3,6	39,3
72	Italy	aggressive_trade	False	1,62	0,9	7	1	3,2	6,7	3,2	3,5	7,8	0,7	6,2	3,3	43,5
73	Italy	random_trade	False	1,81	0,9	1,9	1,1	1,3	1,4	0,7	2,1	2	0,9	2,2	2,3	16,8
74	Italy	aggressive_trade	False	0,8	0,2	9,6	0,4	4	7	4,1	3,3	5,9	0,6	7,7	3,2	46
75	Italy	random_trade	False	1,2	0,8	1,2	0,7	1,8	1,9	2	0,7	2,1	1,4	2	1,4	16
76	Italy	conservative_trade	False	2,7	1	1	1	0,8	0,9	1,2	1,2	1,1	1,7	1,4	1,2	12,5
77	Italy	conservative_trade	False	1,13	1,2	0,8	1,4	0,9	1,4	1,3	1	1,3	1,4	0,7	1,3	12,7
78	Italy	conservative_trade	False	2,14	1,2	1,1	1	1,3	2,1	1	0,7	1,7	1,5	1,6	0,5	13,7
79	Italy	random_trade	False	1,16	1,1	1,4	0,9	1,9	2,4	1,6	1,6	3	0,9	2	1	17,8
80	Italy	random_trade	False	2,3	0,7	2,6	0,8	1,5	2	1,9	1,6	2,1	1,6	2,6	1,9	19,3
81	North Africa	random_trade	False	1,2	1,1	2,1	1,2	1,6	2,6	1,5	1,5	3,1	0,9	2,2	1,1	18,9
82	North Africa	aggressive_trade	False	1,17	0,7	6,8	0,8	3,9	5,8	2,8	5	8,6	0,5	6	5,4	46,3
83	North Africa	random_trade	False	2,14	1,2	1,7	1	2,9	1,9	1,6	1,1	2,5	0,7	2,6	1	18,2
84	North Africa	random_trade	False	1,49	0,5	2,1	1,1	1,9	2,5	2	1,3	2,5	0,4	1,9	1,4	17,6
85	North Africa	random_trade	False	1,85	0,8	1,9	1,2	2,1	1,8	1,8	3	2,6	0,5	2,2	1,2	19,1
86	North Africa	random_trade	False	0,79	0,9	3,2	0,7	2,1	2,3	1,5	1,4	2,1	1,1	1,7	2,8	19,8
87	North Africa	random_trade	False	1,31	0,9	2,1	0,7	1,6	1,6	2,2	1,5	2,7	0,8	3	1,6	18,7
88	North Africa	random_trade	False	1,84	1,2	1,6	0,6	1,5	2	1,2	1,8	3,5	0,4	1,8	2,6	18,2
89	North Africa	conservative_trade	False	1,86	1,1	1,4	1,5	1,1	0,9	1,2	1,4	0,7	0,8	1,4	1,1	12,6
90	North Africa	conservative_trade	False	1,37	0,8	1,1	1,3	1,1	1,3	1	1,3	1,3	0,9	1,7	1,2	13
91	Tarraconensis	aggressive_trade	False	0,96	0,8	5,7	0,7	4,9	5,9	3,2	4,8	5,8	0,4	6,2	4,2	42,6
92	Tarraconensis	random_trade	False	0,84	1	1,4	0,8	2,2	1,5	1,6	1,6	2,8	1	1,9	1,5	17,3
93	Tarraconensis	aggressive_trade	False	1,67	1,7	5,3	0,7	5,3	5,6	4,9	3,6	4,7	1,3	6,9	4,1	44,1
94	Tarraconensis	aggressive_trade	False	3,03	0,6	10,8	0,4	3,7	10,9	4	3,4	6,9	0,3	9	3,5	53,5
95	Tarraconensis	conservative_trade	False	2,78	1,1	1	0,9	0,6	1,7	0,8	1,1	1,7	1,1	0,9	0,9	11,8
96	Tarraconensis	conservative_trade	False	1,37	1,2	1,3	1,3	1,4	0,9	1,1	1,1	1	1	0,8	0,8	11,9
97	Tarraconensis	conservative_trade	False	2,2	1,1	1	1,2	1,1	1,5	1,4	0,6	0,8	1,1	1,2	1,3	12,3
98	Tarraconensis	random_trade	False	0,93	0,7	2,3	1,2	1,4	2,1	1,8	2,1	2,5	0,4	2,4	1,8	18,7
99	Tarraconensis	conservative_trade	False	4,15	1,7	1	1,4	1,1	1,2	0,9	0,8	1	0,8	1,9	0,8	12,6
100	Tarraconensis	conservative_trade	False	2,55	1,1	2,1	1,5	1,1	1,1	0,5	0,7	1,2	0,8	1,5	1,1	12,7
101	Western Mediterranean	random_trade	False	0,99	0,9	1,6	0,5	0,4	2,7	2	2	1,3	0,7	2,9	1,7	16,7
102	Western Mediterranean	conservative_trade	False	3,41	0,9	1,7	1,6	0,6	1,1	1,1	1	1	0,8	1,1	1,4	12,3
103	Western Mediterranean	aggressive_trade	False	1,6	0,8	4,9	0,6	3,4	8,1	3	3,2	6,7	0,7	7,8	2,6	41,8
104	Western Mediterranean	random_trade	False	1,65	0,8	2,8	0,5	1,5	2,3	1,3	1,4	2,1	1	2,2	2,5	18,4
105	Western Mediterranean	aggressive_trade	False	1,22	0,7	8,4	0,5	2,9	9	3,2	4	7,9	0,4	7	3,1	47,1
106	Western Mediterranean	random_trade	False	1,33	0,4	2,2	0,5	1,6	1,9	1,5	1,7	1,8	0,8	2,6	1,2	16,2
107	Western Mediterranean	random_trade	False	1,62	0,4	2,2	0,8	1,2	2,5	1,3	1,9	2,3	0,6	2,4	1,7	17,3
108	Western Mediterranean	aggressive_trade	False	2,34	0,7	10,1	0,4	3,4	9,6	4,5	2,6	6,3	0,6	11,9	4,4	54,5
109	Western Mediterranean	aggressive_trade	False	3,59	0,1	13,3	0,4	2,1	13,1	1,7	1,8	6,8	0,5	13,5	1,7	55
110	Western Mediterranean	random_trade	False	1,73	1,1	1,9	0,7	2	2,4	1,5	1,6	3,1	0,7	1,9	1,7	18,6
